code,teeinblue_asset_type,parent_category,category,catcode,index,item,file,notes,source_product
AO-KP-14,Additional Options,Number of Kids/Pets,1-15,KP,14,14,14,item thumbnail; drives conditional,NV984 pajama
AO-KP-15,Additional Options,Number of Kids/Pets,1-15,KP,15,15,15,item thumbnail; drives conditional,NV984 pajama
CLP-BGP-01,Clipart Categories,Backgrounds,Pajama Basic 6,BGP,01,White,,bg image or base layer; NOT Color Category,NV984 pajama
CLP-BGP-02,Clipart Categories,Backgrounds,Pajama Basic 6,BGP,02,Black,,bg image or base layer,NV984 pajama
CLP-BGP-03,Clipart Categories,Backgrounds,Pajama Basic 6,BGP,03,Blue,,bg image or base layer,NV984 pajama
CLP-BGP-04,Clipart Categories,Backgrounds,Pajama Basic 6,BGP,04,Grey,,bg image or base layer,NV984 pajama
CLP-BGP-05,Clipart Categories,Backgrounds,Pajama Basic 6,BGP,05,Green,,bg image or base layer,NV984 pajama
CLP-BGP-06,Clipart Categories,Backgrounds,Pajama Basic 6,BGP,06,Red,,bg image or base layer,NV984 pajama
FNT-DISP-01,Font Categories,Display,Impact,DISP,01,title font,,Impact - BEST/EVER + rendered title words,NV984 pajama
PHO-FACE-01,(Layer: Upload photo),Faces,Portrait Cutout,FACE,01,face upload,,not an Asset library; remove-bg + face cutout + min-size,NV984 pajama
